feature,importance,tipo,seleccionada,umbral_falsa_max
mrentabilidad_delta2,0.0018724513272398902,real,False,0.004158182017433896
Visa_mconsumospesos_lag2,0.0018580668719319895,real,False,0.004158182017433896
mcajeros_propios_descuentos_percentil,0.0018242432191556118,real,False,0.004158182017433896
ctrx_quarter_delta2,0.001821397249027433,real,False,0.004158182017433896
canarito4,0.00179486503079604,real,False,0.004158182017433896
mcomisiones_otras_delta1,0.0017854272580073091,real,False,0.004158182017433896
Visa_cconsumos,0.0017808765713781787,real,False,0.004158182017433896
Master_fultimo_cierre,0.0017782961972334413,real,False,0.004158182017433896
falsa_12,0.0017747767714858525,falsa,False,0.004158182017433896
ctarjeta_master_lag1,0.0017728153088274357,real,False,0.004158182017433896
ccomisiones_otras_lag1,0.0017474551384581286,real,False,0.004158182017433896
cextraccion_autoservicio,0.001743050593741073,real,False,0.004158182017433896
mpayroll_lag1,0.001729996870177351,real,False,0.004158182017433896
mpayroll,0.001724236155034201,real,False,0.004158182017433896
canarito3,0.0016992849859756773,real,False,0.004158182017433896
mcheques_depositados_percentil,0.0016885952490608746,real,False,0.004158182017433896
Visa_Finiciomora,0.0016872914670959692,real,False,0.004158182017433896
mcheques_depositados_rechazados_percentil,0.0016812844005166297,real,False,0.004158182017433896
mprestamos_personales,0.0016279158973559926,real,False,0.004158182017433896
Master_Fvencimiento_lag1,0.001587116612352082,real,False,0.004158182017433896
Visa_fultimo_cierre,0.0015860906853392288,real,False,0.004158182017433896
Master_msaldototal_lag1,0.0015568224320535167,real,False,0.004158182017433896
cpayroll_trx_lag1,0.0015511315963539236,real,False,0.004158182017433896
Visa_fechaalta,0.0015487827882125745,real,False,0.004158182017433896
mactivos_margen_delta2,0.0015479545815994481,real,False,0.004158182017433896
Visa_fechaalta_delta1,0.0015343673375823575,real,False,0.004158182017433896
cliente_antiguedad,0.001522910582046676,real,False,0.004158182017433896
Visa_mconsumosdolares_delta1,0.0014954709518088197,real,False,0.004158182017433896
mrentabilidad_annual,0.0014884461598680867,real,False,0.004158182017433896
Master_mfinanciacion_limite_lag1,0.001479946811690415,real,False,0.004158182017433896
Visa_mconsumospesos_delta2,0.001476556153934278,real,False,0.004158182017433896
Visa_msaldototal_lag2,0.0014620638940885653,real,False,0.004158182017433896
mtarjeta_master_descuentos_percentil,0.0014609395337552475,real,False,0.004158182017433896
mtransferencias_emitidas_percentil,0.0014606310697698524,real,False,0.004158182017433896
mcomisiones_delta2,0.0014473450836111656,real,False,0.004158182017433896
Master_status,0.0014324715731442888,real,False,0.004158182017433896
ctarjeta_visa_transacciones_lag2,0.0014317439587311972,real,False,0.004158182017433896
Visa_madelantopesos_delta2,0.0014271072519494877,real,False,0.004158182017433896
falsa_8,0.0014269772201804132,falsa,False,0.004158182017433896
Visa_mlimitecompra,0.001413330998004621,real,False,0.004158182017433896
chomebanking_transacciones_lag1,0.0013635860370853044,real,False,0.004158182017433896
falsa_14,0.0013558191219079862,falsa,False,0.004158182017433896
Visa_mfinanciacion_limite_lag1,0.0013346410941956351,real,False,0.004158182017433896
mautoservicio_lag2,0.0013246524470847912,real,False,0.004158182017433896
falsa_1,0.0013141836282641903,falsa,False,0.004158182017433896
canarito2,0.0012903558205385151,real,False,0.004158182017433896
Master_msaldopesos,0.0012897807925338575,real,False,0.004158182017433896
mautoservicio_lag1,0.001242509094536655,real,False,0.004158182017433896
Visa_mfinanciacion_limite_lag2,0.001240186652107127,real,False,0.004158182017433896
ccomisiones_otras_lag2,0.0012106092671610726,real,False,0.004158182017433896
cpayroll_trx_lag2,0.0012028188330731498,real,False,0.004158182017433896
falsa_5,0.001202365110399952,falsa,False,0.004158182017433896
Visa_mpagominimo_delta2,0.0011701462990213946,real,False,0.004158182017433896
Visa_mpagosdolares,0.0011329146379473276,real,False,0.004158182017433896
Master_fultimo_cierre_lag2,0.0011197908957093828,real,False,0.004158182017433896
cproductos_delta2,0.0011169157572872208,real,False,0.004158182017433896
Master_status_delta2,0.0011083737200139627,real,False,0.004158182017433896
mprestamos_personales_lag1,0.001108106274111541,real,False,0.004158182017433896
cmobile_app_trx_lag2,0.0011008464580596984,real,False,0.004158182017433896
Master_delinquency,0.001070222888652284,real,False,0.004158182017433896
mforex_buy_percentil,0.001062250503615154,real,False,0.004158182017433896
minversion2_percentil,0.001054580349173042,real,False,0.004158182017433896
mcaja_ahorro_adicional_percentil,0.0010545041961916074,real,False,0.004158182017433896
Visa_madelantopesos,0.0010490151935117198,real,False,0.004158182017433896
mactivos_margen_delta1,0.001045657283664584,real,False,0.004158182017433896
